route_id,number_of_buses,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,number_of_cancellations,cancellation_rate
20-318,4508,148,148,148,148,128,148,148,148,148,148,148,128,148,148,148,148,148,148,128,148,148,148,148,148,148,128,148,148,148,148,148,0,0.0
21-318,270,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,0,0.0
221-318,432,16,16,16,16,0,16,16,16,16,16,16,0,16,16,16,16,16,16,0,16,16,16,16,16,16,0,16,16,16,16,16,0,0.0
222-318,324,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,0,0.0
224-318,810,30,30,30,30,0,30,30,30,30,30,30,0,30,30,30,30,30,30,0,30,30,30,30,30,30,0,30,30,30,30,30,0,0.0
225-318,1080,40,40,40,40,0,40,40,40,40,40,40,0,40,40,40,40,40,40,0,40,40,40,40,40,40,0,40,40,40,40,40,5,0.004629629629629629
228-318,324,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,0,0.0
23-318,810,30,30,30,30,0,30,30,30,30,30,30,0,30,30,30,30,30,30,0,30,30,30,30,30,30,0,30,30,30,30,30,0,0.0
231-318,1134,42,42,42,42,0,42,42,42,42,42,42,0,42,42,42,42,42,42,0,42,42,42,42,42,42,0,42,42,42,42,42,6,0.005291005291005291
232-318,1026,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,38,0,38,38,38,38,38,1,0.0009746588693957114
233-318,324,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,12,0,0.0
234-318,1188,44,44,44,44,0,44,44,44,44,44,44,0,44,44,44,44,44,44,0,44,44,44,44,44,44,0,44,44,44,44,44,5,0.004208754208754209
235-318,1350,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,50,2,0.0014814814814814814
236-318,1350,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,50,2,0.0014814814814814814
237-318,756,28,28,28,28,0,28,28,28,28,28,28,0,28,28,28,28,28,28,0,28,28,28,28,28,28,0,28,28,28,28,28,1,0.0013227513227513227
24-318,6352,216,216,216,216,130,216,216,216,216,216,216,130,216,216,216,216,216,216,130,216,216,216,216,216,216,130,216,216,216,216,216,3,0.00047229219143576825
25-318,9862,330,330,330,330,238,330,330,330,330,330,330,238,330,330,330,330,330,330,238,330,330,330,330,330,330,238,330,330,330,330,330,15,0.0015209896572703305
251-318,1188,44,44,44,44,0,44,44,44,44,44,44,0,44,44,44,44,44,44,0,44,44,44,44,44,44,0,44,44,44,44,44,2,0.0016835016835016834
252-318,1296,48,48,48,48,0,48,48,48,48,48,48,0,48,48,48,48,48,48,0,48,48,48,48,48,48,0,48,48,48,48,48,1,0.0007716049382716049
256-318,1134,42,42,42,42,0,42,42,42,42,42,42,0,42,42,42,42,42,42,0,42,42,42,42,42,42,0,42,42,42,42,42,2,0.001763668430335097
257-318,1566,58,58,58,58,0,58,58,58,58,58,58,0,58,58,58,58,58,58,0,58,58,58,58,58,58,0,58,58,58,58,58,5,0.0031928480204342275
258-318,918,34,34,34,34,0,34,34,34,34,34,34,0,34,34,34,34,34,34,0,34,34,34,34,34,34,0,34,34,34,34,34,0,0.0
26-318,5870,202,202,202,202,104,202,202,202,202,202,202,104,202,202,202,202,202,202,104,202,202,202,202,202,202,104,202,202,202,202,202,5,0.0008517887563884157
